Linux 6.8.0-45-generic (adman-AORUS-15-BKF) 	09/10/24 	_x86_64_	(20 CPU)

20:20:36      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
20:22:25     1000    230969    5.00    1.00    0.00    0.00    6.00     4  godot.linuxbsd.
20:22:26     1000    230969    7.00    3.00    0.00    0.00   10.00    13  godot.linuxbsd.
20:22:27     1000    230969    6.00    1.00    0.00    0.00    7.00    13  godot.linuxbsd.
20:22:28     1000    230969    5.00    2.00    0.00    0.00    7.00     8  godot.linuxbsd.
20:22:29     1000    230969    6.00    1.00    0.00    0.00    7.00     6  godot.linuxbsd.
20:22:30     1000    230969    4.00    2.00    0.00    0.00    6.00     4  godot.linuxbsd.
20:22:31     1000    230969    5.00    1.00    0.00    0.00    6.00     8  godot.linuxbsd.
20:22:32     1000    230969    5.00    2.00    0.00    0.00    7.00    14  godot.linuxbsd.
20:22:33     1000    230969    5.00    2.00    0.00    0.00    7.00    14  godot.linuxbsd.
20:22:34     1000    230969    6.00    1.00    0.00    0.00    7.00    13  godot.linuxbsd.
20:22:35     1000    230969    6.00    2.00    0.00    0.00    8.00     7  godot.linuxbsd.
20:22:36     1000    230969    6.00    1.00    0.00    0.00    7.00     5  godot.linuxbsd.
Average:     1000    230969    5.42    1.87    0.00    0.03    7.28     -  godot.linuxbsd.
