Environment,Test Type,Statistic,Average Value
TB3-TB3_INTERNAL,increasing_payload,Average RTT,0.008906
TB3-TB3_INTERNAL,increasing_payload,Median RTT,0.006865
TB3-TB3_INTERNAL,increasing_payload,Standard Deviation of RTT,0.005030
TB3-TB3_INTERNAL,increasing_payload,Variance of RTT,0.000025
TB3-TB3_INTERNAL,increasing_payload,% Under Threshold,98.166667
TB3-TB3_INTERNAL,increasing_payload,% Over Threshold,1.833333
LAPTOP-LAPTOP_INTERNAL,increasing_payload,Packet Loss Percentage,0.000000
LAPTOP-LAPTOP_INTERNAL,increasing_payload,Average RTT,0.012945
LAPTOP-LAPTOP_INTERNAL,increasing_payload,Median RTT,0.005441
LAPTOP-LAPTOP_INTERNAL,increasing_payload,Standard Deviation of RTT,0.011773
LAPTOP-LAPTOP_INTERNAL,increasing_payload,Variance of RTT,0.000139
LAPTOP-LAPTOP_INTERNAL,increasing_payload,% Under Threshold,66.600000
LAPTOP-LAPTOP_INTERNAL,increasing_payload,% Over Threshold,33.400000
LAPTOP-LAPTOP_INTERNAL,large_payload,Packet Loss Percentage,0.000000
LAPTOP-LAPTOP_INTERNAL,large_payload,Average RTT,0.025397
LAPTOP-LAPTOP_INTERNAL,large_payload,Median RTT,0.027288
LAPTOP-LAPTOP_INTERNAL,large_payload,Standard Deviation of RTT,0.006078
LAPTOP-LAPTOP_INTERNAL,large_payload,Variance of RTT,0.000037
LAPTOP-LAPTOP_INTERNAL,large_payload,% Under Threshold,25.600000
LAPTOP-LAPTOP_INTERNAL,large_payload,% Over Threshold,74.400000
LAPTOP-LAPTOP_INTERNAL,simple_string,Packet Loss Percentage,0.000000
LAPTOP-LAPTOP_INTERNAL,simple_string,Average RTT,0.001574
LAPTOP-LAPTOP_INTERNAL,simple_string,Median RTT,0.001374
LAPTOP-LAPTOP_INTERNAL,simple_string,Standard Deviation of RTT,0.000951
LAPTOP-LAPTOP_INTERNAL,simple_string,Variance of RTT,0.000001
LAPTOP-LAPTOP_INTERNAL,simple_string,% Under Threshold,100.000000
LAPTOP-LAPTOP_INTERNAL,simple_string,% Over Threshold,0.000000
LAPTOP-LAPTOP_UNITYTCPCONN,increasing_payload,Packet Loss Percentage,0.000000
LAPTOP-LAPTOP_UNITYTCPCONN,increasing_payload,Average RTT,0.016785
LAPTOP-LAPTOP_UNITYTCPCONN,increasing_payload,Median RTT,0.013081
LAPTOP-LAPTOP_UNITYTCPCONN,increasing_payload,Standard Deviation of RTT,0.010114
LAPTOP-LAPTOP_UNITYTCPCONN,increasing_payload,Variance of RTT,0.000103
LAPTOP-LAPTOP_UNITYTCPCONN,increasing_payload,% Under Threshold,66.633333
LAPTOP-LAPTOP_UNITYTCPCONN,increasing_payload,% Over Threshold,33.366667
LAPTOP-LAPTOP_UNITYTCPCONN,large_payload,Packet Loss Percentage,0.000000
LAPTOP-LAPTOP_UNITYTCPCONN,large_payload,Average RTT,0.025664
LAPTOP-LAPTOP_UNITYTCPCONN,large_payload,Median RTT,0.025451
LAPTOP-LAPTOP_UNITYTCPCONN,large_payload,Standard Deviation of RTT,0.008362
LAPTOP-LAPTOP_UNITYTCPCONN,large_payload,Variance of RTT,0.000070
LAPTOP-LAPTOP_UNITYTCPCONN,large_payload,% Under Threshold,29.033333
LAPTOP-LAPTOP_UNITYTCPCONN,large_payload,% Over Threshold,70.966667
LAPTOP-LAPTOP_UNITYTCPCONN,simple_string,Packet Loss Percentage,0.000000
LAPTOP-LAPTOP_UNITYTCPCONN,simple_string,Average RTT,0.007685
LAPTOP-LAPTOP_UNITYTCPCONN,simple_string,Median RTT,0.007623
LAPTOP-LAPTOP_UNITYTCPCONN,simple_string,Standard Deviation of RTT,0.003031
LAPTOP-LAPTOP_UNITYTCPCONN,simple_string,Variance of RTT,0.000009
LAPTOP-LAPTOP_UNITYTCPCONN,simple_string,% Under Threshold,99.866667
LAPTOP-LAPTOP_UNITYTCPCONN,simple_string,% Over Threshold,0.133333
